# CH player nicknames (latest from Dedimania)
# source: /Users/ydeshwari/Downloads/tm_recs/dedimania_history_master.db
# format: login<TAB>nickname

2nd	onez
yrdk	LeG〢Cherno. -ॆ-
niyck	LeG〢иιсκιе.
youngblizzard	odd
pointiff	ĊĦ » riminal *<l:#
yogeshdeshwari	ĊĦ » κи0ҡĶツ
bananaapple	bananaapple
xxgammelhdxx	ĊĦ » tj!
tzigitzellas	ĊĦ » TzinglebeLLas !
fichekk	ĊĦ » fic *<|:3
mglulguf	ĊĦ » levon
knotisaac	ĊĦ » тяανᅕ
hoodintm	ĊĦ » LarenŽ*<|:3
heisenberg01	ĊĦ » ef *<|:3
paxinho	ĊĦ » paX ƒun
thewelkuuus	つ°ैwelk°ैつ
riza_123	ĊĦ » Oguzz
dejong2	ƒun Chris〤old¹
brunobranco32	ĊĦ » вяаисο *<|:3
cholub	tarzaned jungler!
certifiednebula	Яםחネブラ¬ĊĦ
luka1234car	ĊĦ » LUKA
sylwson2	ĊĦ »  sylwson
erreerrooo	ĊĦ » Eror *<|:3
declineee	declina
bojo_interia.eu	つ°ै°ैつ-ॆ-
noam3105	ĊĦ » иоам
stwko	<°ैॆ-°ै>
mitrug	ĊĦ » mitrug
bobjegraditelj	NoPro»Bob»ĊĦ
mes_king	ĊĦ » paciox
lucienchenevier	ĊĦ めeैlirium« ғѕт
that_can_happen	ĊĦ »T *<|:3
bleble123	°ॆ८॒°ॅ«)ै»Яםח
kq2022	ĊĦ » kq *<|:3
asso095	ĊĦ asaso :) |ρѕ
onthehorizon	LeG〢Tyy
tobiaszek333	opus.dei.λсєםιैα
bruno_x_x	Bruno *<|:3
oreoneon	ĊĦ »AHAHAHHAXDX *<|:3
